time,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf
16:06:13,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1200,6508.662713,Voltages(V),Current(mA),54.96
16:06:13,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1200,19521.821144999998,Voltages(V),Current(mA),54.96
16:06:13,GA104,FBVDD_GPU_V_GA102 ,7000,1200,2271.472084,Voltages(V),Current(mA),54.96
16:06:13,GA104,FBVDD_MEM_V_GA102 ,7000,1200,2143.3326669999997,Voltages(V),Current(mA),54.96
16:06:13,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1305,5665.155808,Voltages(V),Current(mA),58.80
16:06:13,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1305,19839.223248000002,Voltages(V),Current(mA),58.80
16:06:13,GA104,FBVDD_GPU_V_GA102 ,7000,1305,2622.867772,Voltages(V),Current(mA),58.80
16:06:13,GA104,FBVDD_MEM_V_GA102 ,7000,1305,2515.12429,Voltages(V),Current(mA),58.80
time,gpu_name,label,mclk,gpcclk,power,unit(V),unit(I),perf
17:21:17,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1200,5880.9867619999995,Voltages(V),Current(mA),54.79
17:21:17,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1200,19482.919245,Voltages(V),Current(mA),54.79
17:21:17,GA104,FBVDD_GPU_V_GA102 ,7000,1200,2103.613071,Voltages(V),Current(mA),54.79
17:21:17,GA104,FBVDD_MEM_V_GA102 ,7000,1200,1973.815774,Voltages(V),Current(mA),54.79
17:21:17,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7000,1305,5378.677824,Voltages(V),Current(mA),58.76
17:21:17,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7000,1305,19826.639464000003,Voltages(V),Current(mA),58.76
17:21:17,GA104,FBVDD_GPU_V_GA102 ,7000,1305,2546.8339189999997,Voltages(V),Current(mA),58.76
17:21:17,GA104,FBVDD_MEM_V_GA102 ,7000,1305,2532.42507,Voltages(V),Current(mA),58.76
17:21:17,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7100,1200,5661.507355,Voltages(V),Current(mA),54.93
17:21:17,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7100,1200,19582.695809999997,Voltages(V),Current(mA),54.93
17:21:17,GA104,FBVDD_GPU_V_GA102 ,7100,1200,2087.2802789999996,Voltages(V),Current(mA),54.93
17:21:17,GA104,FBVDD_MEM_V_GA102 ,7100,1200,1954.231398,Voltages(V),Current(mA),54.93
17:21:17,GA104,FBVDD_GPU_V_GA104_Hynix_1x ,7100,1305,4301.132472,Voltages(V),Current(mA),58.95
17:21:17,GA104,FBVDD_MEM_V_GA104_Hynix_1x ,7100,1305,19885.032016,Voltages(V),Current(mA),58.95
17:21:17,GA104,FBVDD_GPU_V_GA102 ,7100,1305,2569.362369,Voltages(V),Current(mA),58.95
17:21:17,GA104,FBVDD_MEM_V_GA102 ,7100,1305,2441.304509,Voltages(V),Current(mA),58.95
